property_address,categories
"khasra number 1695/1- 1681-1682 khewat/khatouni number 1140-1389-1141/1390-1338/1827, page number 1433-1434-1714 2669, jamabandi year 2010-2011 hadbast number 263, wakea village gill number -2, abadi sahid bhagat singh nagar khatouni number,1140-1389-1141/1390-1338/1827,street no 2,shaheed bhagat singh nagar,village gill number -2,kesari colony,near bharat petroleum pump/ aviraj filling station,ludhiana,punjab,141013",landparcel
"shop no. 2, ground floor, narpatgiri corner, final plot no nehru road, village mangalwar peth, taluka haveli, dist. 34/b, cts no. 430/1a (part), near zilla parishad, jawaharlal pune 411011",commercial unit
"unit 156, scheme no.84-e khirni phatakjaipur jaipur 302012 rajasthan",others
"plot no 85 e part, sy no 58 and 59, ground flr and 1st flr boduppal village and municipal corporation, medipally mandal medchal malkajgiri district, boduppal, hyderabad, telangana, india, 500098",houseorplot
"unit-425 coral crest by urban tree plot 22 to 386,s no 203/8b232/9a,566/9b,ayalcherivillage,hamlet of sorancheryvillage ,poonamallee taluk, avadi 600072 tamil nadu",others
"khasra no. 9495/3, mandal dhani balaji, opposite primary school, hyderabad, telangana - 227600",landparcel
"all that pieces and parcels of block no. 46, old r.s. no. 52, t.p. no. 2, old f.p. no. 36 paiki north side admeasuring 823.68 sq. mtrs., common plot area admeasuring 205.00 sq. mtrs., total admeasuring 1028.68 sq. mtrs., scheme known as “divine harmony” tower-a, 5th floor, flat no. 501, super built up area admeasuring 111.52 sq. mtrs., undivided land area admeasuring 34.28 sq. mtrs., of village: bhayli, sub-dist. vadodara, registration dist. vadodara",flat
"shop no. a/219 to a/63 , second floor anmol circle road, the capital, near divyajivan elegance nikol",commercial unit
"plot no.-0985, block-b, ansal sushant city, panipat, haryana-132103 0 plot no.-0985, block-b, ansal sushant city, panipat, haryana-132103 opp. park",houseorplot
ward no. 05 mohala near harjan basti rajgarh distt. churu - 331023,others
"unit-174,floor-second krishna villa rs 839 tp 907 fp326 paike plotnr panchal wadib/h gokuldham societymanjalpurvadodara vadodara 390011 gujarat",flat
"block b 203, manthan 25, vatva road, behind pujan party plot vatva, vatva road, ahmedabad, ahmedabad, gujarat, india, 382440",flat
"property situated at, patta no. 187, kh no. 85 & 85/1 pali bye pass road ""part b"" gram punayata pali on gumti bridge to pali bye pass road",landparcel
"flat,403,first floo,no 1611,kbr nirvana apartment,ramakrishna nagara,na,mysore,mysore,mysuru,karnataka,570022",flat
"flat-302,floor-3 altiuus drome s no.28/3/1damodar nagarkharadi pune 411015 maharashtra",flat
mouja gosalpur p h no. 79 khasra 355/1 tehsil sihora dist jabalpur,houseorplot
"flat no 206, 2nd floor, paradise park b wing, phase 1, badlapur belavali, thane, maharashtra, india, 421503",flat
"flat no.301, 3rd floor, building f-13, jagadguru co-op hsg society, sector no.17 & 19, spine road, near ganesh mandir, chikhali pradhikaran , pune - 411062.",flat
"r.s. no. 2778/6, mandal bithoor, behind dps school, hyderabad, telangana - 222607",landparcel
"flat no. 203, 2nd floor, neha park sahkari gruhrachana sanstha maryadit, gat number 62, survey no. 871, old gat no 1182 cts no 871, near rajmata jijau chowk, boradewadi",flat
rs no 2/406 21.40 ares changaroth village door no 6/171/a koyilandy taluk changaroth gramapanchaytah changaroth village kozhikode,houseorplot
"flat,d-14, d14a,4,d-14,ganpati square,ganpati square d-14,d14a,d12,d13,ajmer road,madanganj-kishangarh,kishangarh,kishangarh,kishangarh,ajmer,rajasthan,305801",flat
"plot-6/rp-80 lda-anant nagar yojna adarsh khand kaliya khera pyarepur, tehsilsarojini nagar lucknow 226001 uttar pradesh",houseorplot
"flat-103,floor-1 vastukarma chs s no 110(p),115(p),plot no.m9mhada s.no-110(p),115(p),bhindlok nagari ambaranth east badlapur 421501 maharashtra",flat
532near petrol pump 739 motihari east champaran motihari bihar 845401,others
"commercial school and land situated at village-suthaliya, p.h.no. 60, r.n.m.-suthaliya, ward no. 05, madusudangarh road, tehsil-biaora, dist-rajgarh, m.p-465677 agrawal academy near indane gas agency",commercial unit
bearing property no a 787 area measuring 923 sq yds situated at pandav nagar jj colony new delhi - 110008,others
"flat-805,floor-second neelkanth aspire plot 62,sector 260,karanjade ,panvel panvel 410206 maharashtra",flat
plot no 41 -42 madhuwan colony chak 6 e chhoti killa no 18 sq no 47 madhuban colony vardhasharm road,houseorplot
"no21 jeevi, 19th main ganesha, temple road, girinagara, bsk 3rd stage, bangalore, karnataka, india, 560085",houseorplot
"flat-202,floor-2 emerald heights tower f s no rec.no.37kh.no.2/1,914/1/2,2/2,7/2,sector 88village palwali, baselwa andkheri kalan faridabad 121001 haryana",flat
"flat-236-a,floor-1 landmark avana floors s no rect no.4//21 min ,2210//killa no.1,2,3 etc,sector95,village dhokra gurgaon 122001 haryana",flat
"ravapar, survey no 158/1 p3, lotus 158 plot no 10, lotus b 6 flat no 203,2nd floor bh gokul farm nr krishna school, off ravapar ghunada road vill ravapar,morbi, morbi, morbi, gujarat, india, 363641",flat
"rathindra multiplex unit on the ground and first floor front portion, mouza- sodepur, j.l. no. 418, r.s. no. 833, touzi no. 958, being part of dag no. 725 panihati municipality district- north 36 parganas under khatian no. 990 and part of dag no. 556, premises no. 901 & 811, r.n. avenue, sodepur, p.s khardah rathindra multiplex",commercial unit
"flat no 405 and 406,fourth floor,mahakaleshwar apartment,gho 0324 0004 house no 18 lekha no gh0002292298,gothivali village ghansoli,thane-400701",flat
"flat-c,floor-ninth shree niwas s no d no 48/611 p no 522/514vill gotanagar mouza jalukbarisaroda colony,west nambarigotanagar ,maligaon guwahati 781033 assam",flat
"all that right, title and interest of property bearing flat no.e/401 on fourth floor in block no.e adm. 54.11 sq. mtrs. built-up area along with undivided share of land adm. 20.53 sq. mtrs. in the scheme known as “kavya residency”, situated at:- survey no.839 of mouje : naroda, taluka : asarwa, in the registration district of ahmedabad and sub district of ahmedabad-6 (naroda).",flat
property situated at khasra no 1286/1218 dhod sikar 332042 village bhoowala near ranwa krishi farm,landparcel
"702, 7, bldg no 7d, virar bolinj, mhada colony , na, virar sopara link road, na, thane, virar west",flat
"flat-108,floor-1 skyon block c plot in,s no 54p,55/a/b/2bachupally(v) & (m)medchal-malkajgiri dist medchal-malkajgiri 500090 telangana",flat
"flat no 201, second floor type c1, block c kharsa no, 71/2 and 71/3 village damkheda, sagar green hills, bhopal, bhopal, bhopal, madhya pradesh, india, 462042",flat
"708/1e1 vijayapura 691/1e1, bijapur 586101 near bridge",others
"flat no f2,first floor,as,situated on plot no 734 scheme anupam vihar,village panchyawala,sharma dental and general hospital,jaipur,rajasthan,302034",flat
"flat-x857,floor-sixth navkar palace type g s no 320,198,420,op ghadhpurtownship,n shivanjali rowhouse,nrj b diamond sarthanato kathodara rd, surat 395006 gujarat",flat
c-1 266 second floor 619/8 and 619/3 teh. saket village chhattarpur near katyayani temple chhaterpur south delhi pushp vihal 110074,flat
"flat no-71103, 11th floor, 7th tower, nikoo homes, bhartiya city phase-i, hegde, nagar main road, thanisandra bangalore",flat
"flat-207,floor-2 kings my homes building no 2 wing c s no cts- 295 & 373,manorajangarden, hill road and joginiindustry road, sionchunabhatti east mumbai 400022 maharashtra",flat
"office no. u.g.-876, upper ground floor, raghuvir business empire, 637, 756, 538, f.p.no.500+288+664 (as per draft tp f.p. no. 358 & 577, 965-a), village - r.s.no.487/505/a+ 31/418/a, 110, block no.903, 846, 49, draft t.p.s.no.628, o.p. no. magob, sub dist. surat city",commercial unit
"flat-j679,floor-ground gynanand greens algari s no 676 p,fp 447,opp apmcmarket,nr water tank & shreejihighview,sayaji township rdnew vip road vadodara 390022 gujarat",flat
"flat no. 302, third floor, without roof right, area measuring 610 square feet, built-up on freehold residential plot no. 61 and 62, out of khata no. 00061, khasra no. 601, situated at sanskriti homes, diamond residency-2, situated at village sarfabad, pargana and tehsil dadri, district gautam budh nagar, uttar pradesh 201307",flat
"flat-345,floor-first shakuntal flats ashwadhara members assocnear union bankvishwakunj char rastapaldiahmedabad ahmedabad 380007 gujarat",flat
"flat-213,floor-2 khadb code 280 bldg-6-a s no code 280,bhandarali ,thane (w) thane 400603 maharashtra",flat
"flat-e-704,floor-7 shiven florenza e-wing s no 108, 109,block 132,fp 47paikee sub division plot- 1,tp 09, b/s prestige rivanta,gauravpath road, palanpur surat 395009 gujarat",flat
"flat-101,floor-1 pushpak residency s no 293/3,near vishwas arcadratnakar mata road,kapadvanj kheda 387620 gujarat",flat
"unit-604 shreeji duplex s no 699/293,opp krishna vatikasoc.,next to anugrah hospitalkarjan padra rd,karjan vadodara 391240 gujarat",others
"shop/office no.436 senapati bapat marg ,4th floor,phase i essgee options one phase i near naman midtown one inter",commercial unit
":117/h-1/207, 402, na, no.117/h-1/207,on plot no.92, at, block-h, kakdev schm no.01, pandu nagar, distt kanpur nagar.up, resale house- flat no.402 on 4th floor in balaji oasis premises no.117/h-1/207,on plot no.92, situated at, block-h, kakdev scheme no.01, pandu nagar, tehsil and district kanpur nagar.up-208001. , flat no.402 on 4th floor in balaji oasis premises , near kakdev police station, kanpur, na, flat no 402 on 4th floor in premises no 117/h-1/207 situated at pandu nagar kanpur , kanpur nagar, uttar pradesh, 208001",flat
"shop no. 409,410 and 411, 4th floor, maruti plaza, s.no. 717/1a/2, final plot no. 457, tps-2, above shagun thali, vidya vikas circle, gangapur road,",commercial unit
"new block no. 9, old block no. 7, plot no. 30,, sai pavitra residency,, moje:- haldharu sub dist:- kamrej,, surat, dist:- surat, gujarat, india, 394310",flat
"house no. c- 98 situated at mohalla- rajendra nagar, block c tehsil 0 distt- bareilly (up) flower villa park",houseorplot
"old r.s no 190, new r.s no 563/23, patta no 436, plot no 7, no 21 pannimadai village, coimbatore north taluk, vadavalli sro, coimbatore rd 641017",houseorplot
"na, na, na, commercial cum residential property situated at opp. old bus stand, safidon, distt. jind, haryana , commercial cum residential property situated at opp. old bus stand inside mc limit safidon, distt. jind, haryana , na, waka rakba old bus stand , na, safidon, safidon , jind, haryana, 126112",commercial unit
door no 6 18 2a 18th line 1st cross road chandana nursing home arundalpet guntur pratap kumar guntur arundalpet 0 pratap kumar arundalpet,houseorplot
"flat-103,floor-1 chaitanya niwas plot 194,sector 3,ulwe raigarh-ms 410206 maharashtra",flat
"survey no. 8675/3, tehsil phulwari sharif, beside community park, guwahati, assam - 487774",landparcel
3007 30 swaminarayan city phase 1b wing g georgia swaminarayan city phase 1a n.aretibandar road n.a vishnunagar rajaji path ramnagar kalyan thane thane maharashtra 421202,flat
"showroom no. ff/211, first floor, shree siddheshwar havelock, mouje village: sama, sub. dist. vadodara (vibhag - 432), reg. dist. vadodara 391740 k, opp. bansal mall, near sama cannel, sama - savli road, sama",commercial unit
"part of gata no. 859, gram malak harhar uparhar, district prayagraj, uttar pradesh-211013",houseorplot
"unit-m-95-1,floor-01 m3m soulitude phase 2 s no rect no-60//killa no-1/12/1,sector 89,village hayatpur gurgaon 122001 haryana",flat
"flat on 2nd floor, premises no 15g, raj krishna, chatterjee road jl no 69 touzi no 430 dag no 69 khatian no 965, ps kasba ward no 997, under kolkata municipal corporation, kasba, kolkata, west bengal, india, 700042",flat
"205,khatoni number 355,/,shani estate,khassi kalan,atta mill,ludhiana,punjab,141015",houseorplot
"flat no-701, 7th floor, ty pe b, wing-e, tulsi aastha, tulsi aastha chsl, survey no-45, hissa no-4 paiki a+b+c, village-kharvai, ambernath, thane, maharashtra-421503",flat
"6th floor prince infocity phase 321 rajiv gandhi salai kandanchavadi no.223/469, rajiv gandhi salai omr no 840/221 and 98/185 near bus stand",commercial unit
"flat-773,floor-third ev 662 marina bay incentive b plot 759,sector 16,vashi, navimumbai navi mumbai 400703 maharashtra",flat
"unit-18 shree ram vatika-2 s no 10+19/p1,nr rajputanacompany,beside om logisticsgodhra-halol road,maghasarhalol panchmahal 389350 gujarat",others
"premise no.-522-b, gata no. 22min pargana & tehsil & distt-bahraich(up) situated at mauza -chawani sarkar kanli kuner hosiptal",landparcel
"unit-w-326 goverdhan das kalla awasiya yojna s no jaisalmer,near jethwairoad, kh nos 976 53 953 168175 35 285 689 of jaisalmer jaisalmer 345001 rajasthan",flat
"built-up fourth floor without roof rights, area measuring 507 sq. yards, out of khasra no. 214mi, 484mi & 487mi, situated at wake mauja sarfabad pargana loni tehsil dadri district gautam budh nagar up.",flat
"flat-a712,floor-7 the manhattan riviera (residential) plot 1 to 8,scheme -ramchandrapura, mahal road, jaipur 302017 rajasthan",flat
"mauza. raje, at. raje, maniagachhi, distt. darbhanga. pin code. 847422. p.s.- maniagachhi, thana no. 185, tauzi no. 6424, distt. darbhanga. pin code. 847422. near by old chimni & railway line.",landparcel
"sco no 628, 2nd, amayra city center, amayra city center, khewat/khatoni no.-735/202 khasra no.-275(41-143) da 961/109 hissa 868/826 biswe bearing sco no.-472 sf, amayra city center, khanpur, kharar, distt. -s.a.s. nagar mohali.140301, sco no 206 , khanpur, amayra city center, mohali, khanpur, s.a.s nagar, punjab, 140301",commercial unit
"r.s. no. 4448/8, pargana rajapur, near old shiv mandir, hyderabad, telangana - 535827",landparcel
shop no 222 block no k 6 mouje nandgaon peth part 2 pragane nandgaon peth tq and dist amaravati 444901 busyland complex in field s no 441 1 a 441 1 b 441 2 441 3 and survey no 441 1 a 441 1 b 441 2 441 3 440 4 near choupal sagar,commercial unit
"upohar town centre , shop on the ground floor, front side, premises no. 2052, budherhat road, panchasayar, chak garia, p.s.- panchasayar, p.o.- panchasayar, ward no. 109, budherhat road upohar town centre , unit no. uptc0021, on the ground floor, premises no. 2052, chakgaria, mouza- chakgaria, p.s.- purba jadavpur, ward no. 10,under kmc, district- south 24 parganas. new garia railway/metro statio",commercial unit
"unit-118 aadhya homes-2 s no r.s.no-589_old-112-1,nrvraj villa residency,ongcpoint road,mandva andada roadandada,ankleshwar ankleshwar 393010 gujarat",others
"a46, sector 292 noida noida noida noida",others
"flat no 11010, 10th floor prestige valley crest, kodialbail, kadri village, mangalore, dakshina kannada, karnataka, india, 575002",flat
"flat-401,floor-4 balaji evara plot 23,tps 1 akruli ,panvel panvel 410206 maharashtra",flat
"plot-181,182 p.l.aerocity plot 1-481,s no 106/1-6,107-1a-1c, 2, 3, 4,sno:108/3-9, 1thirupandhiyurvillage , kadambatturpanchayat union thiruvallur 600128 tamil nadu",houseorplot
"unit-2424 visveshwaraya layout ( bda ) s no all blocks,kengeri,behindkhb flats bengaluru 560060 karnataka",others
"flat-102,floor-1 mangalmurti bhavan () plot no 324sector 6sarsolenerul navi mumbai 400706 maharashtra",flat
"flat-610,floor-6 nariman point-diamond block (2 bhk) s no 101/2/1,104/1,2, 107/1-4108/2, 119/2, ,117, 118/1107/3,4,108/2,119/2,117,118/12,113,114,115,p,121/1,123/2/1101/1.... indore 452010 madhya pradesh",flat
"flat-702,floor-7 mohan highlands-ty f-bld-14 s no 68,69,67-1,sr no 68 ,69 p67-1,ganesh ghat , katrapbadlapur [e ] dist thane 421503 maharashtra",flat
"block 928 mansa fibrezone india, sur no 34,opp rushit decor gandhinagar mansa highway, limbodra nr rushil decore",flat
"house no. 169 old house no. 71 and sikmi no. 454 (n.z.a.) is situated at gram satrikh (ander sima) nagar panchayat satrikh, mohalla bazar, ward no. 9, pargana satrikh, tehsil nawabganj, district-barabanki, uttar pradesh-225122",houseorplot
unit-445/80 goverdhan vilas sector-14udaipur udaipur-rj 313001 rajasthan,others
"flat no.371, second floor, krishna kunj, plot no.142, gut no.503, itkheda, tq aurangabad. near agresen school, itkheda , aurangabad",flat
duplex no 911 umiya duplex opp labh ghar nirant char rasta opp swaminarayan gurukul avastral ahmedabad gujarat 382415,flat
"sy.no.307/9-2-4, 2.02 ares, enanalloor village,muvattupuzha taluk,ernakulam district,686673",landparcel
"all that piece and parcel of the property bearing 2261/397 as per 677 and 985 a issued by the ilwala grama panchayath pid no 152200403160025873 situated at karakanahalli village, ilwala grama panchayath, mysore taluk, mysore district measuring east to west 948.269+44.515/536 meter and north to south 726.767+ 163.441/894 meter total measuring 940.54 square meter, bounded as under",others
"flat no f-3, 1st floor, plot no 63 & 64, vikas nagar-b, gidharipura, jaipur, rajasthan-302021",flat
"flat no.511 on 5th floor in f wing in building no.3 in the society named as gopal krishna sankul a, b, f wing chsl, near h r hospital, off b g kini road, survey no. 345,346 at village juchandra, naigaon east, taluka vasai, dist. palghar",flat
"na, nahappy homes, property addressplot no 64 ecr happy homes extension, near chaitanya school , ,chavatipalem road darsi nagara panchayath, prakasam districta p legal addtress:s no 762 2 plot no 64 ecr happy homes extension near chaitanya school chavatipalem road darsi nagara, 64, chaitanya school, happy homes, prakasam, darsi, prakasam, andhra pradesh, 523247",houseorplot
"flat-b-302,floor-3 shreedhar sky blk b plot fp 15/1,s no 178,tp. 112,beside shreedhar sparsh,behind royal restaurant, ,s.p. ring road, vastral ahmedabad 382418 gujarat",flat
pargana loni taisil ghaziabad,others
"nishan pride shop no.-3(ground floor) nr. s.v.square, khdiyar tample road, new ranip block-a, opp. home town-5 opp. home town - 5",commercial unit
"office no 817,75 st floor, sion trombay road, swastik chambers owener co-op society ltd.junction of cst road sion trombay road,",commercial unit
shop no i 1664 and 1665 radha krishna textile market ring road ring road 0 radha krishna textile market ring road,commercial unit
"nananakh no. 250/6,area-4198sqft,ph no. 079, ., near by cseb office,mana camp, r.n.m-raipur19-kandul, raipur, mouja/gram-banrasi, raipur, chhattisgarh, 49200",landparcel
"property no 285,solanki street,main bazar,gate ni ander,at jalalpur ta gadhada,nr nilkanth mahadev temple,botad,gujarat,364740",others
"flat-b-504,floor-5 adidev flats block b plot fp 179. tp 19,s no 293606,b/s haridham flats,oppgeet bunglow old gidc rdmanjalpur vadodara 390011 gujarat",flat
"survey no. 7503/1, village bithoor, opposite post office, kolkata, west bengal - 705724",landparcel
two storied building mouza-chanak holding no-36(27/a) jl no-4 1 titagarh ward-7 of barrackpore municipality east chandmari road kolkata,flat
"flat no. 1104, 11th floor, building no. 8, man opus chsl opposite to amar palace hotel, near kasmira police station mira road (east), thane maharashtra thane 401107",flat
"milkat no 98, gaothan area of dagadwadi, tal bhokardan, jalna district",houseorplot
"r.s. no. 573/5, village rampur kalan, near ganesh temple, gandhinagar, gujarat - 392342",landparcel
"equitable mortgage of agri land for 6.37 acres survey no. 254-1, 254-2 kolanapalle(v) kalla(m) w.g(d) of vegesna mahindra varma kalla",landparcel
"na, naarazi no. 307 rasulpur pushpraj nagar gate no. 2 dist - varanasi, araji no. 307, mauza - rasulpur, pargana - shivpur, tehsil and dist - varanasi, 221002, arazi no. 307, near by kajariya pokhara, varanasi, varanasi, varanasi, varanasi, uttar pradesh, 221007",landparcel
"unit-892,floor-eighth sri sai paradise-los s no sy.no.548/338,shigehallivillage,,bidarahalli hobliwhite filed, bengaluru 560002 karnataka",others
"block no 1 sf,na,prabhat nagar road,hari om appartment,prabhat nagar,at mahuva,bhavnagar,gujarat,364290 , mahuva , , semiurban , mahuva , gujarat , india - 364290",flat
"flat-1901,floor-19 rohan harita phase 2 wing g s no 129/1/3/1,135/2/1,135/2/2135/3a,135/3b,136/1a,,136/1/b136/2(p),137/1 & 2, tathawademulshi pimpri chinchwad 411033 maharashtra",flat
"shop no 33, raghuleela residency, karnavati mall, vastral, ahmedabad, ahmedabad, gujarat, india, 382418",commercial unit
"c-3/94, janak puri",others
"house on,plot no#79,80,s no/kh-6/2/2 min,village jagatpurtehsil rudrapur,e-prp,w-rdn-rd,s-prp rudrapur-utt 263148 uttarakhand",houseorplot
"flat-1001,floor-10 cidco mass hsg- ty ea-04 plot 1,sector 28,taloja panvel 410208 maharashtra",flat
"plot no-20, part of khasra no-1 & 2/1 min, area-1600 sq.ft, situated at village-raheem nagar dudaulli, tehsil & district-lucknow.",houseorplot
"house no. 816/12, measuring 10 marlas i.e. 311 sq. yards, comprising in khewat no. 151/141 (now khewat no. 164), khatoni no. 172 (now khatoni no. 175), khasra no. 31//6/2/4 (2-14) being 5/54 share i.e. 05 marlas and khewat no. 189/179 (now khewat no. 201), khatoni no. 216 (now khatoni no. 218), khasra no. 31//15/1/1 (1-4) being 5/24 share i.e. 05 marlas, total land measuring 10 marlas, situated at mouja darra khera, h.b. no. 385, now known as professor colony, gali no. 3, kurukshetra, tehsil thanesar, district kurukshetra, within limits of municipal council thanesar (hereinafter referred to as the property in question), owned vide regd. transfer deed no. 12959 dated 27-03-2015, measured and bounded as under: -",houseorplot
301 35 00 anand parva apartment 03 kolhapur b ward kolhapur,flat
"all that piece and parcel of the plot no. 58 area admeasuring about 1000 sq. ft. along with future construction thereon out of area adm. 00 h. 11.5 r assessed 00 rs. 12 paise out of area adm. 01 h.35 r out of adm. area 02 h. 71 aar assessed 02 rs. 86 paise of land bearing gat no.164/1 situated at village karegaon, taluka shirur, dist pune and within the limits of jilha parishad pune and within the jurisdiction of sub-registrar talegaon dhamdhere and shirur",houseorplot
"municipal no 29 30 kkamaraj road military and civil station bangalore old no27, new municipal no 30 and municipal no. 29 cavalry road now known askkamaraj road military and civil station bangalore near to veerapillai street",houseorplot
no 786 landons roadkilpauk,others
"house on 3rd floor with roofplot no-245,colony huda, urbanestate,sector 7 gurgaon 122001 haryana",houseorplot
"commercial prop no, 268/475-b, krishna vihar, khasra no 540/444, village khadoli, rohta road godwin public school to bypass, meerut, meerut, uttar pradesh, india, 250001",others
"house no. 14, chinar fortune city, ward no. 52, huzur dist bhopal situated at bawadiya kalan tehsil huzur dist bhopal chinar fortune city",houseorplot
"""shreenathji krupa off pandit nehru marg,sheet no 83, csw no 12, plot, no 35-1 paiki, sub plot no 35-1 a/1 paiki nort opp shanti apartment, b/h hotel golden crown patel colony jamnagar",houseorplot
"property no. 209-708-962, property old no. 647/708 k r nagara town, mysuru district assessment no. 740/147 and 658/678, ward no.445, vanivilasa road, near lions school",others
12&15near durga colony masjid plot no 12&15 part near yerrolla houses near waddera houses ward no 3 medak medak medak telangana 502110,houseorplot
"kh no 611, plot no 01 a & 01 b gram fatehpuriya doyma kumawat colony tehsil beawar",houseorplot
"flat no. ssb60207, 02ndfloor, wing b6, springshire, gat no 571/1/1a (part), 571/1/2, 571/1/3, 571/1/4, 571/1/5, 571/1/6, 571/1/7, 571/1/15, wagholi (avhalwadi), haveli, pune, 412207",flat
"flat-604,floor-5 askg pinnacle place plot 551, 552, 553, 554,s nodholai,patrakar colony, nearraheja homes, jaipur 302020 rajasthan",flat
"flat-d3-106,floor-1 swapna shrushti residency s no 153,f p no 7,tp no 48,bhestan -jiyav rd nr priyankaintercity,bhestan surat 395023 gujarat",flat
h no-2-151 namakangudem kusumahalli mandalam suryapet telangana,houseorplot
"nanabharti foods, kh no 663/841, ph no 237/629, metal park ,ward no 53 ravi sankar shukla, rnm- dharsiwa-862, kh no 806/129, near satya dharam kanta, metal park road, raipur, village-rawabhata, raipur, chhattisgarh, 493221",commercial unit
"207, 2, building no. f, shree gajanan fortune city , flat no.207, 2nd floor, gajanan fortune city shree gajanan khadavali, kalyan-421605, thane",flat
"house over, arazi no 204 mi, mauza dandi pargana, arail tehsil karchhana, district prayagraj, dandi, allahabad, uttar pradesh, india, 211007",houseorplot
"s no 50/4 50/5, no 22/8, bound street, kadaperi, west tambaram, chennai, tamil nadu, india, 600045",houseorplot
plot no 18 sidhi vinayak residency plot no 18davdaa kanjari road panch mahals halol gujarat 389350,houseorplot
"flat-4,floor-9 cidco mass hsg type ews- bldg-ea-20 plot 2,sector 6,ulwe raigarh-ms 410206 maharashtra",flat
village ruraramnagr tehsil and diss pilibhit,others
"milkat no. 129, house no. 128, darbarvas (aakarni), mouje-bedasma, ta-satlasna, dist-mahesana-384330",houseorplot
"flat no. r-203, 2 th floor, devraj residency, block no. 127/b, t.p. scheme no. 36, f.p. no. 56, block no. i, raj apartment, moje - althan, sub dist. & dist. surat.",flat
unit-632-kashipuri revenue village-manva kheda s no manvakheda udaipur-rj 313001 rajasthan,others
shop no 586 gr floor plot no 681 sec 124 ulwe dream vinayak sec 211,commercial unit
"sy. no. 6185/7, mouza madhavpur, beside outer ring road, kochi, kerala - 217035",landparcel
mouza- 34 no. arbeta jl no 034 plot no-1254/2131 khatian no - 2328 na,houseorplot
"flat no. 303, 3rd floor, padmdhan heights, s. no. 19/11 warulwadi(narayangaon), tal. junnar, dist. pune 410504 old sr. no. 670/5b, opp. to rajyog residency opp. to rajyog residency",flat
"ppid 1juwp643, khewat no 1929, khata no 2336, khasra no 2376,2377,2381,2382,2383,2387,2388, waka rakba under nagar nigam shiv colony, patti musalmanan, sonipat, sonipat, haryana, india, 131001",houseorplot
guruwar peth belgaum tilakwadi belgaum,others
